studyName,"Datetime GMT","Latitude (º)","Longitude (º)",Cycle,Event,Cast,"Depth (m)",Bottle,"Assoc Bottle 1","Assoc Bottle 2","Assoc Bottle 3","Total Chl (µg/L)","Chl - 1µm (µg/L)","Chl - 3µm (µg/L)","Chl - 8µm (µg/L)","Chl - 20µm (µg/L)","Chl < 1.0µm (%)","Chl 1.0µm - 3.0µm (%)","Chl 3.0µm - 8.0µm (%)","Chl 8.0µm - 20.0µm (%)","Chl > 20.0µm (%)"
P0810MV,"2008-10-20 09:50:35",33.60903,-121.164463,"Cycle 4",521,49,11.875,17,18,,,0.81,0.66,0.64,0.67,0.76,18.2,2.4,-3.3,-11.8,94.6
P0810MV,"2008-10-20 19:53:09",33.60995,-121.177812,"Cycle 4",533,50,39.754,7,8,,,1.76,1.68,1.48,1.41,1.32,4.8,10.9,4.3,5.1,74.9
P0810MV,"2008-10-21 09:51:51",33.54848,-121.17847,"Cycle 4",554,52,11.892,20,19,,,1.36,1.17,1.07,1.03,1.16,14.4,7.0,2.7,-9.0,84.9
P0810MV,"2008-10-22 08:38:24",32.919533,-120.903017,"Cycle 5",569,53,12.449,17,18,,,1.43,1.13,0.74,0.71,0.70,20.9,27.7,1.7,0.7,49.1
P0810MV,"2008-10-22 18:56:52",32.872347,-120.930287,"Cycle 5",589,55,7.905,14,15,,,1.81,1.25,0.96,0.89,0.85,31.2,15.8,3.9,2.1,47.1
P0810MV,"2008-10-23 08:30:50",32.81732,-120.841925,"Cycle 5",611,57,11.988,17,18,,,1.59,1.17,0.97,0.80,0.79,26.4,12.9,10.4,0.9,49.4
P0810MV,"2008-10-23 18:56:33",32.832952,-120.746382,"Cycle 5",621,58,12.065,14,11,,,1.94,1.44,1.15,1.01,1.01,25.6,14.8,7.6,-0.3,52.3
P0810MV,"2008-10-24 09:02:45",32.852377,-120.567872,"Cycle 5",642,60,11.867,20,19,,,1.49,1.23,1.09,0.94,1.00,17.4,9.4,9.9,-4.0,67.3
P0810MV,"2008-10-26 09:23:31",32.597023,-120.561395,"Cycle 6",726,73,35.261,10,11,,,0.56,0.30,0.12,0.06,0.03,46.5,32.5,10.7,4.9,5.4
P0810MV,"2008-10-26 09:23:31",32.597023,-120.561395,"Cycle 6",726,73,12.101,19,20,,,0.19,0.08,0.05,0.02,0.01,57.9,16.0,15.1,3.6,7.4
P0810MV,"2008-10-26 19:06:24",32.592182,-120.467803,"Cycle 6",742,74,11.98,16,17,,,0.20,0.09,0.05,0.02,0.01,54.3,21.4,13.6,4.6,6.1
P0810MV,"2008-10-27 08:35:22",32.569613,-120.328285,"Cycle 6",762,76,11.77,19,20,,,0.20,0.08,0.04,0.02,0.01,59.1,22.2,7.7,4.7,6.3
P0810MV,"2008-10-27 19:04:12",32.53857,-120.23416,"Cycle 6",777,77,50.251,8,11,,,0.47,0.28,0.11,0.06,0.03,39.3,37.9,10.2,7.1,5.5
P0810MV,"2008-10-28 11:51:43",34.121192,-121.656513,"Cycle 6",451,78,11.679,22,21,,,0.24,0.10,0.04,0.02,0.01,57.5,24.2,10.0,3.9,4.3
P0810MV,"2008-10-28 11:51:43",32.494082,-120.111585,"Cycle 6",798,78,45.309,10,,,,0.47,0.21,0.10,0.06,0.03,54.4,24.1,9.0,5.7,6.8
P1106MV,"2011-06-19 02:05:00",33.07555,-118.4713,"Cycle 0",8,1,10,20,20,,,0.30,0.17,0.06,0.02,0.01,42.2,36.4,14.4,4.1,2.9
P1106MV,"2011-06-24 19:00:00",33.99725,-121.6348,"Cycle 1",81,12,8,12,12,,,0.59,0.36,0.19,0.14,0.09,39.2,28.4,7.8,10.1,14.5
P1106MV,"2011-06-25 09:00:00",33.91395,-121.4607,"Cycle 1",99,13,2,21,21,,,0.58,0.25,0.16,0.11,0.06,56.4,15.3,9.4,8.3,10.7
P1106MV,"2011-06-25 17:15:00",33.86327,-121.3703,"Cycle 1",108,14,5,21,21,,,0.59,0.47,0.25,0.16,0.07,20.7,36.3,16.1,14.3,12.6
P1106MV,"2011-06-26 10:43:00",33.69713,-121.2299,"Cycle 1",128,15,8,22,22,,,0.56,0.36,0.19,0.11,0.06,36.6,29.1,14.7,9.1,10.5
P1106MV,"2011-06-27 09:10:00",33.5743,-121.7711,"Cycle 2",151,16,10,20,20,,,0.12,0.04,0.01,0.01,0.00,67.2,22.4,4.6,3.7,2.1
P1106MV,"2011-06-27 18:29:00",33.52003,-121.7109,"Cycle 2",172,18,5,14,14,,,0.11,0.03,0.01,0.01,0.00,71.2,19.0,5.0,2.4,2.4
P1106MV,"2011-06-28 09:00:00",33.42077,-121.6242,"Cycle 2",191,21,12,20,20,,,0.11,0.04,0.01,0.01,0.00,61.4,29.9,3.9,2.5,2.4
P1106MV,"2011-06-28 18:30:00",33.35502,-121.5702,"Cycle 2",201,22,0,14,14,,,0.11,0.03,0.01,0.00,0.00,75.4,16.0,5.1,1.3,2.2
P1106MV,"2011-06-29 11:00:00",33.22048,-121.4624,"Cycle 2",214,23,0,24,24,,,0.11,0.02,0.01,0.00,0.00,76.6,16.1,4.0,1.6,1.8
P1106MV,"2011-06-30 09:10:00",34.10627,-121.6483,"Cycle 3",229,24,3,22,22,,,0.45,0.22,0.15,0.11,0.06,50.9,16.0,9.4,9.6,14.1
P1106MV,"2011-06-30 17:50:00",34.06852,-121.58,"Cycle 3",250,27,0,15,15,,,0.40,0.24,0.12,0.05,0.04,39.2,31.7,17.1,2.1,9.9
P1106MV,"2011-07-01 09:05:00",34.0567,-121.4744,"Cycle 3",266,30,2,22,22,,,0.51,0.26,0.16,0.09,0.04,48.5,19.0,14.7,9.4,8.4
P1106MV,"2011-07-01 17:40:00",34.08312,-121.4377,"Cycle 3",285,31,0,15,15,,,0.40,0.23,0.12,0.08,0.04,42.9,28.2,9.3,9.0,10.6
P1106MV,"2011-07-07 09:05:00",33.53098,-121.0963,"Cycle 4",378,43,30,9,9,,,4.93,4.14,3.81,3.84,2.93,16.2,6.6,-0.7,18.4,59.5
P1106MV,"2011-07-07 18:05:00",33.49015,-121.1075,"Cycle 4",399,45,0,11,11,,,2.24,1.88,1.80,1.47,1.32,16.1,3.7,14.9,6.7,58.7
P1106MV,"2011-07-08 09:05:00",33.38582,-121.1568,"Cycle 4",419,48,2,23,23,,,2.62,2.30,2.06,2.00,1.83,12.5,8.9,2.5,6.2,69.9
